state,votes,area,total_18_20,total_21_29,total_30_39,total_40_49,total_50_59,total_60_69,total_70_79,total_80_89,total_90+
Johor,1952458,19210,169919,566345,565327,459283,382163,280443,137647,46040,9408
Kedah,1209539,9500,106007,357971,347229,266944,221626,165159,79744,26285,4840
Kelantan,991571,15099,98429,334960,343874,234523,180407,129475,61184,17457,4454
Melaka,515041,1664,41347,141733,143505,111303,93207,73757,37415,12786,2271
Negeri Sembilan,659420,6686,53226,179153,191044,144094,116810,99664,47324,16205,3345
Pahang,872888,36137,74779,250901,279419,195953,147177,112561,56780,16457,2917
Perak,1482208,21035,111800,404336,439884,351237,296961,242945,132314,47132,10263
Perlis,148277,821,11888,41315,45581,31829,26941,22105,11777,3817,674
Pulau Pinang,943971,1048,68082,230921,240766,215993,197412,156617,84001,26860,5974
Sabah,1068532,73631,127582,405760,399143,279080,216075,155337,63786,26680,15944
Sarawak,1178867,124450,129034,415645,410146,331673,295733,214298,102504,33138,10903
Selangor,2930278,8104,273703,845017,777675,643095,539809,379111,165218,45845,8375
Terengganu,739816,13035,65122,220266,238455,158910,115460,79420,34100,9475,1648
Kuala Lumpur,855194,243,55835,200617,235693,204985,187535,158343,77838,24869,5692
Labuan,28449,91,3225,10482,10886,6958,5800,4649,1752,528,204
Putrajaya,36643,49,3571,9007,12720,9388,4382,3187,567,57,2
Total,15613152,330803,1393549,4614429,4681347,3645248,3027498,2277071,1093951,353631,86914
